epoch,step,loss,discrimn_loss_e,compress_loss_e,discrimn_loss_t,compress_loss_t
0,0,-11.445578575134277,19.87921142578125,8.433632850646973,19.87921142578125,8.433632850646973
0,1,-11.45956039428711,20.023218154907227,8.563657760620117,20.023218154907227,8.563658714294434
0,2,-11.375883102416992,19.87909698486328,8.503213882446289,19.87909698486328,8.503213882446289
0,3,-11.420351028442383,19.972766876220703,8.55241584777832,19.972766876220703,8.55241584777832
0,4,-11.457723617553711,20.095714569091797,8.637990951538086,20.095714569091797,8.637990951538086
0,5,-11.397588729858398,19.96368408203125,8.566095352172852,19.96368408203125,8.566095352172852
0,6,-11.42049503326416,20.14295196533203,8.722456932067871,20.14295196533203,8.722456932067871
0,7,-11.477716445922852,20.21316909790039,8.735452651977539,20.21316909790039,8.735451698303223
0,8,-11.477253913879395,20.065887451171875,8.58863353729248,20.065887451171875,8.58863353729248
0,9,-11.414401054382324,20.085142135620117,8.670741081237793,20.085142135620117,8.670741081237793
0,10,-11.574756622314453,20.175867080688477,8.601110458374023,20.175867080688477,8.601110458374023
0,11,-11.560661315917969,20.16091537475586,8.60025405883789,20.16091537475586,8.60025405883789
0,12,-11.563918113708496,20.10318946838379,8.539271354675293,20.10318946838379,8.539271354675293
0,13,-11.587432861328125,20.27727699279785,8.689844131469727,20.27727699279785,8.689844131469727
0,14,-11.678852081298828,20.328319549560547,8.649467468261719,20.328319549560547,8.649467468261719
0,15,-11.694925308227539,20.461959838867188,8.767034530639648,20.461959838867188,8.767034530639648
0,16,-11.687946319580078,20.387859344482422,8.699913024902344,20.387859344482422,8.699913024902344
0,17,-11.693995475769043,20.393373489379883,8.69937801361084,20.393373489379883,8.69937801361084
0,18,-11.68549633026123,20.582326889038086,8.896830558776855,20.582326889038086,8.896831512451172
0,19,-11.834443092346191,20.699310302734375,8.864867210388184,20.699310302734375,8.8648681640625
0,20,-11.841665267944336,20.53148078918457,8.689815521240234,20.53148078918457,8.689815521240234
0,21,-11.853336334228516,20.68367576599121,8.830339431762695,20.68367576599121,8.830339431762695
0,22,-11.83954906463623,20.83095359802246,8.99140453338623,20.83095359802246,8.99140453338623
0,23,-11.850300788879395,20.672027587890625,8.82172679901123,20.672027587890625,8.82172679901123
0,24,-11.903674125671387,20.830900192260742,8.927226066589355,20.830900192260742,8.927227020263672
0,25,-11.978958129882812,21.018115997314453,9.03915786743164,21.018115997314453,9.03915786743164
0,26,-11.989958763122559,20.828266143798828,8.83830738067627,20.828266143798828,8.838306427001953
0,27,-11.971503257751465,21.123432159423828,9.151928901672363,21.123432159423828,9.151928901672363
0,28,-12.051806449890137,21.115291595458984,9.063485145568848,21.115291595458984,9.063484191894531
0,29,-12.187131881713867,21.264297485351562,9.077165603637695,21.264297485351562,9.077165603637695
0,30,-12.069087028503418,21.07936668395996,9.010279655456543,21.07936668395996,9.010279655456543
0,31,-12.129426956176758,21.475061416625977,9.345634460449219,21.475061416625977,9.345632553100586
0,32,-12.24179458618164,21.359359741210938,9.117565155029297,21.359359741210938,9.117565155029297
0,33,-12.18885612487793,21.268741607666016,9.079885482788086,21.268741607666016,9.079885482788086
0,34,-12.254101753234863,21.273860931396484,9.019759178161621,21.273860931396484,9.019759178161621
0,35,-12.345941543579102,21.46758270263672,9.121641159057617,21.46758270263672,9.121641159057617
0,36,-12.34570598602295,21.41858673095703,9.072880744934082,21.41858673095703,9.072880744934082
0,37,-12.38248062133789,21.564197540283203,9.181716918945312,21.564197540283203,9.181716918945312
0,38,-12.401668548583984,21.528169631958008,9.126501083374023,21.528169631958008,9.126500129699707
0,39,-12.499268531799316,21.74896240234375,9.249693870544434,21.74896240234375,9.249692916870117
0,40,-12.418871879577637,21.6528263092041,9.233954429626465,21.6528263092041,9.233954429626465
0,41,-12.523490905761719,21.80076789855957,9.277276992797852,21.80076789855957,9.277276992797852
0,42,-12.45012378692627,21.64928436279297,9.1991605758667,21.64928436279297,9.1991605758667
0,43,-12.599431037902832,21.915042877197266,9.315611839294434,21.915042877197266,9.315611839294434
0,44,-12.640811920166016,21.984207153320312,9.343395233154297,21.984207153320312,9.343395233154297
